chunk,size,label_distribution,label_proportions
1,6750,"{0: 669, 1: 673, 2: 672, 3: 648, 4: 676, 5: 685, 6: 724, 7: 709, 8: 620, 9: 674}","{0: 0.09911111111111111, 1: 0.0997037037037037, 2: 0.09955555555555555, 3: 0.096, 4: 0.10014814814814815, 5: 0.10148148148148148, 6: 0.10725925925925926, 7: 0.10503703703703704, 8: 0.09185185185185185, 9: 0.09985185185185186}"
2,6470,"{0: 632, 1: 671, 2: 657, 3: 612, 4: 697, 5: 629, 6: 642, 7: 641, 8: 646, 9: 643}","{0: 0.09768160741885626, 1: 0.10370942812982999, 2: 0.10154559505409583, 3: 0.0945904173106646, 4: 0.10772797527047913, 5: 0.09721792890262751, 6: 0.09922720247295208, 7: 0.0990726429675425, 8: 0.09984544049459042, 9: 0.09938176197836167}"
3,6360,"{0: 617, 1: 629, 2: 620, 3: 705, 4: 608, 5: 619, 6: 630, 7: 620, 8: 647, 9: 665}","{0: 0.09701257861635221, 1: 0.0988993710691824, 2: 0.09748427672955975, 3: 0.11084905660377359, 4: 0.09559748427672957, 5: 0.09732704402515724, 6: 0.09905660377358491, 7: 0.09748427672955975, 8: 0.10172955974842768, 9: 0.10455974842767296}"
4,5710,"{0: 591, 1: 537, 2: 551, 3: 541, 4: 573, 5: 574, 6: 565, 7: 575, 8: 619, 9: 584}","{0: 0.10350262697022768, 1: 0.09404553415061297, 2: 0.09649737302977233, 3: 0.09474605954465849, 4: 0.10035026269702277, 5: 0.10052539404553415, 6: 0.0989492119089317, 7: 0.10070052539404553, 8: 0.10840630472854641, 9: 0.10227670753064799}"
5,5220,"{0: 528, 1: 528, 2: 505, 3: 556, 4: 518, 5: 543, 6: 506, 7: 540, 8: 488, 9: 508}","{0: 0.10114942528735632, 1: 0.10114942528735632, 2: 0.09674329501915709, 3: 0.10651340996168582, 4: 0.09923371647509578, 5: 0.10402298850574712, 6: 0.09693486590038314, 7: 0.10344827586206896, 8: 0.09348659003831418, 9: 0.09731800766283524}"
6,4840,"{0: 531, 1: 467, 2: 480, 3: 465, 4: 500, 5: 462, 6: 502, 7: 461, 8: 501, 9: 471}","{0: 0.1097107438016529, 1: 0.09648760330578512, 2: 0.09917355371900827, 3: 0.09607438016528926, 4: 0.10330578512396695, 5: 0.09545454545454546, 6: 0.10371900826446281, 7: 0.09524793388429752, 8: 0.10351239669421487, 9: 0.09731404958677686}"
7,4160,"{0: 379, 1: 438, 2: 422, 3: 432, 4: 397, 5: 391, 6: 417, 7: 433, 8: 451, 9: 400}","{0: 0.09110576923076923, 1: 0.10528846153846154, 2: 0.10144230769230769, 3: 0.10384615384615385, 4: 0.0954326923076923, 5: 0.09399038461538461, 6: 0.10024038461538462, 7: 0.10408653846153847, 8: 0.10841346153846154, 9: 0.09615384615384616}"
8,3930,"{0: 402, 1: 430, 2: 432, 3: 393, 4: 374, 5: 388, 6: 383, 7: 378, 8: 364, 9: 386}","{0: 0.10229007633587786, 1: 0.10941475826972011, 2: 0.1099236641221374, 3: 0.1, 4: 0.09516539440203563, 5: 0.09872773536895674, 6: 0.09745547073791348, 7: 0.09618320610687023, 8: 0.0926208651399491, 9: 0.09821882951653944}"
9,3470,"{0: 360, 1: 341, 2: 345, 3: 354, 4: 343, 5: 383, 6: 345, 7: 331, 8: 343, 9: 325}","{0: 0.1037463976945245, 1: 0.09827089337175793, 2: 0.0994236311239193, 3: 0.10201729106628242, 4: 0.09884726224783862, 5: 0.11037463976945244, 6: 0.0994236311239193, 7: 0.09538904899135446, 8: 0.09884726224783862, 9: 0.0936599423631124}"
10,3090,"{0: 291, 1: 286, 2: 316, 3: 294, 4: 314, 5: 326, 6: 286, 7: 312, 8: 321, 9: 344}","{0: 0.0941747572815534, 1: 0.09255663430420712, 2: 0.1022653721682848, 3: 0.09514563106796116, 4: 0.10161812297734628, 5: 0.10550161812297734, 6: 0.09255663430420712, 7: 0.10097087378640776, 8: 0.10388349514563107, 9: 0.11132686084142394}"
